DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_ANNULUS_PRESS,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
2015-01-05,230.99575791666666,106.70132395833333,174.47406854166667,23.434352291666666,10.038051875,56.521689375,30.994655625,27.678918125,221.34,32335.34,6.82
2015-01-06,221.12897645833334,106.92334416666667,167.83053583333333,22.534247708333332,10.722818125,53.298440625,32.017069375,24.698862291666668,223.41,32473.2,7.05
2015-01-07,218.00537479166667,106.92143020833333,166.882505625,20.43741875,10.7460875,51.12286916666667,31.988456666666668,22.411395833333334,230.15,33678.09,6.99
2015-01-08,214.06255541666667,106.94741041666667,165.50626958333334,20.874176458333334,11.103077708333334,48.556285833333334,32.0974325,19.708515208333335,225.72,32736.7,6.99
2015-01-09,212.48793217762724,106.74983452846209,163.270560762255,18.461826936891296,8.350590625,49.217371415372234,28.27508452166397,20.232512000683773,183.0,26547.98,6.75
2015-01-10,218.40076488163098,106.54706803251854,170.05485687161857,12.896585308742958,8.623938125,48.34590801001241,24.579835615516934,17.853874446427575,196.73,28526.92,6.73
2015-01-11,202.74332583333333,107.04395333333333,159.81760541666668,21.78873541666667,11.658122083333334,42.925720416666664,30.77993125,13.236087291666667,236.36,34112.01,8.26
2015-01-12,200.831925625,107.03421041666667,158.79332729166666,22.223697916666666,11.33993125,42.03859833333333,28.792995833333332,12.314960833333334,221.17,32055.9,7.19
2015-01-13,201.29361041666667,106.966104375,159.35074854166666,20.453060208333333,11.020612916666666,41.942861875,28.768070416666667,12.487592291666667,220.09,32040.06,7.12
2015-01-14,201.79082229166667,106.9042125,160.44840104166667,18.619580833333334,10.976551458333333,41.34242125,28.352779166666668,11.719594791666667,196.41,28806.16,6.87
2015-01-15,200.82235645833333,106.88745479166667,160.20167625,17.681778958333332,10.97617625,40.62068020833333,27.04068291666667,10.993741041666667,209.59,30437.61,6.96
2015-01-16,199.86980458333332,106.87322020833334,159.971456875,16.981507708333332,11.041445416666667,39.89834770833333,26.988872291666667,10.268432083333334,213.12,30288.99,6.71
2015-01-17,199.4586,106.87525,159.85704,16.90801,11.13449,39.60156,26.62047,9.97186,197.91,29067.23,6.41
2015-01-18,199.4586,106.87525,159.85704,16.90801,11.13449,39.60156,26.62047,9.97186,208.87,30547.97,6.42
2015-01-19,199.4586,106.87525,159.85704,16.90801,11.13449,39.60156,26.62047,9.97186,211.31,30805.25,6.48
2015-01-20,201.94061086065048,106.61595204683222,162.73506388814212,12.436184158083833,9.932159583333334,39.205546972508365,24.31681065824458,9.4491346794792,201.3,29442.84,7.44
